id,username,experience,approach,holding_period,assets_traded
100,panickyBittern2,Experienced,Technical,Swing Trader,"Equities,Options"
101,solemnSardines4,Experienced,Global Macro,Long Term Investor,Bonds
102,gleefulCoconut8,Novice,Fundamental,Day Trader,Options
103,awedOwl6,Experienced,Global Macro,Day Trader,"Bonds,Futures"
104,culturedWildfowl6,Experienced,Growth,Swing Trader,"Futures,Private Companies"
105,worldlyAntelope7,Novice,Technical,Swing Trader,Equities
106,excitedChowder6,Experienced,Technical,Day Trader,"Options,Equities,Forex"
107,obsessedAntelope5,Novice,Growth,Day Trader,Futures
108,yearningCoconut4,Experienced,Momentum,Position Trader,"Options,Private Companies"
109,awedOtter8,Intermediate,Global Macro,Long Term Investor,Options
110,offendedSheep9,Intermediate,Fundamental,Long Term Investor,"Private Companies,Forex"
111,relievedOcelot4,Experienced,Technical,Long Term Investor,Bonds
112,ardentTacos6,Experienced,Momentum,Day Trader,"Forex,Options"
113,excludedDinosaur6,Experienced,Global Macro,Long Term Investor,"Bonds,Forex"
114,vengefulSeahorse2,Intermediate,Fundamental,Swing Trader,Options
115,adoringHoopoe8,Experienced,Momentum,Long Term Investor,"Forex,Bonds,Equities"
116,annoyedWhiting4,Novice,Growth,Day Trader,"Forex,Options,Futures"
117,ardentJaguar7,Novice,Fundamental,Swing Trader,Bonds
118,importedLemur7,Intermediate,Global Macro,Day Trader,"Futures,Options"
119,needfulDoves2,Experienced,Global Macro,Long Term Investor,Forex
120,grudgingCoati5,Experienced,Fundamental,Long Term Investor,"Equities,Bonds"
121,finickyPretzels9,Experienced,Global Macro,Long Term Investor,"Options,Forex,Equities"
122,lovesickTomatoe4,Intermediate,Growth,Swing Trader,"Private Companies,Forex,Bonds"
123,needfulRat5,Novice,Technical,Long Term Investor,"Equities,Bonds"
124,boredMandrill8,Experienced,Fundamental,Long Term Investor,"Equities,Private Companies,Options"
125,wornoutGatorade4,Novice,Value,Swing Trader,"Bonds,Options"
126,empathicApricots1,Experienced,Growth,Swing Trader,"Options,Futures"
127,lazyPlover9,Experienced,Value,Long Term Investor,Futures
128,dearGranola3,Novice,Global Macro,Swing Trader,Forex
129,euphoricPear8,Novice,Fundamental,Day Trader,"Private Companies,Forex"
130,eagerOatmeal6,Intermediate,Growth,Day Trader,Private Companies
131,eagerRice1,Intermediate,Momentum,Swing Trader,"Futures,Bonds"
132,selfishDoves6,Novice,Momentum,Position Trader,"Options,Private Companies"
133,goofyBittern7,Intermediate,Global Macro,Long Term Investor,"Private Companies,Futures,Options"
134,humorousThrushe0,Intermediate,Momentum,Swing Trader,"Private Companies,Equities,Futures"
135,adoringPaella5,Experienced,Fundamental,Long Term Investor,Private Companies
136,troubledPudding0,Experienced,Global Macro,Day Trader,Options
137,ashamedCow4,Experienced,Value,Day Trader,Private Companies
138,fondKitten3,Intermediate,Technical,Long Term Investor,"Forex,Options"
139,mellowJerky6,Experienced,Technical,Day Trader,"Futures,Forex,Private Companies"
140,sincereSalami3,Novice,Fundamental,Day Trader,Equities
141,guiltyRat3,Novice,Technical,Position Trader,Futures
142,wakefulDoughnut7,Experienced,Technical,Long Term Investor,Private Companies
143,affectedBass3,Intermediate,Fundamental,Day Trader,Equities
144,debonairBuzzard5,Novice,Global Macro,Day Trader,Private Companies
145,mereCow8,Novice,Momentum,Day Trader,"Options,Futures"
146,contentSeagull0,Intermediate,Value,Long Term Investor,Private Companies
147,pluckyHoopoe3,Intermediate,Fundamental,Long Term Investor,"Bonds,Forex"
148,exactingPretzels3,Novice,Growth,Day Trader,"Equities,Options,Private Companies"
149,debonairSheep8,Novice,Global Macro,Day Trader,"Futures,Forex,Equities"
150,shamefulTruffle3,Intermediate,Global Macro,Long Term Investor,"Options,Private Companies,Forex"
151,joyfulCoconut8,Intermediate,Global Macro,Long Term Investor,"Equities,Options,Forex"
152,grudgingFish2,Novice,Momentum,Day Trader,Bonds
153,zestyMandrill0,Experienced,Fundamental,Position Trader,"Private Companies,Equities,Bonds"
154,adoringStork9,Intermediate,Global Macro,Position Trader,"Equities,Options,Bonds"
155,jumpyRuffs9,Experienced,Value,Position Trader,"Private Companies,Options,Equities"
156,lovesickOcelot0,Intermediate,Value,Swing Trader,"Equities,Forex,Private Companies"
157,solemnGelding6,Novice,Global Macro,Day Trader,Equities
158,fondDoughnut1,Novice,Momentum,Long Term Investor,"Equities,Forex,Private Companies"
159,goofyVenison5,Intermediate,Value,Long Term Investor,"Options,Equities,Forex"
160,madGarlic3,Intermediate,Technical,Day Trader,"Futures,Bonds,Options"
161,tautPoultry3,Intermediate,Fundamental,Day Trader,"Private Companies,Futures,Bonds"
162,cautiousOrange4,Experienced,Value,Position Trader,Bonds
163,puzzledLlama2,Experienced,Technical,Position Trader,"Forex,Private Companies,Equities"
164,excitedSwift5,Intermediate,Value,Position Trader,"Private Companies,Forex"
165,amusedApples9,Novice,Momentum,Swing Trader,Equities
166,needfulDinosaur9,Novice,Momentum,Day Trader,Forex
167,thrilledBoa2,Experienced,Fundamental,Long Term Investor,"Equities,Forex"
168,ardentTruffle9,Novice,Momentum,Day Trader,Forex
169,drearyKitten8,Experienced,Momentum,Position Trader,"Forex,Futures,Equities"
170,guiltyBoars8,Novice,Growth,Swing Trader,"Bonds,Futures"
171,dearSwift6,Intermediate,Value,Day Trader,"Options,Forex,Futures"
172,decimalViper7,Experienced,Momentum,Position Trader,"Futures,Equities"
173,dejectedCrane4,Novice,Global Macro,Swing Trader,Options
174,jumpyBittern4,Intermediate,Fundamental,Position Trader,Forex
175,debonairToucan9,Novice,Fundamental,Day Trader,Futures
176,dreadfulBittern8,Intermediate,Fundamental,Position Trader,"Forex,Private Companies,Bonds"
177,truthfulOwl2,Novice,Growth,Day Trader,Forex
178,fondUnicorn5,Intermediate,Global Macro,Position Trader,Forex
179,giddyCake0,Intermediate,Value,Position Trader,"Futures,Forex,Bonds"
180,pluckySheep2,Novice,Global Macro,Day Trader,Options
181,adoringApricots7,Novice,Growth,Day Trader,Private Companies
182,ferventEagle5,Experienced,Growth,Long Term Investor,Bonds
183,enviousHeron1,Novice,Fundamental,Day Trader,"Private Companies,Equities"
184,yearningFish1,Experienced,Value,Swing Trader,"Equities,Futures"
185,sadSalami3,Novice,Global Macro,Long Term Investor,"Bonds,Options,Futures"
186,aboardTacos3,Experienced,Value,Day Trader,"Futures,Forex"
187,dopeyWeaver5,Intermediate,Value,Swing Trader,"Futures,Bonds"
188,drearyCoati9,Novice,Global Macro,Day Trader,"Bonds,Private Companies"
189,empathicTuna5,Novice,Technical,Swing Trader,"Futures,Private Companies,Equities"
190,sadDoughnut5,Intermediate,Fundamental,Long Term Investor,"Options,Futures,Private Companies"
191,zestyLard0,Novice,Fundamental,Position Trader,Futures
192,blissfulBustard2,Novice,Momentum,Long Term Investor,Private Companies
193,resolvedCheese0,Experienced,Momentum,Long Term Investor,Forex
194,trustingLeopard6,Intermediate,Value,Long Term Investor,"Private Companies,Forex"
195,emptyWeaver8,Intermediate,Fundamental,Swing Trader,"Options,Forex,Futures"
196,peacefulSausage7,Intermediate,Global Macro,Long Term Investor,"Futures,Bonds,Equities"
197,affectedCheetah5,Experienced,Fundamental,Long Term Investor,Forex
198,puzzledPonie1,Intermediate,Value,Long Term Investor,"Bonds,Options,Equities"
199,drearyBurritos9,Intermediate,Technical,Long Term Investor,Private Companies
200,amazedLlama9,Intermediate,Value,Position Trader,"Bonds,Private Companies"
201,fondTermite1,Intermediate,Global Macro,Position Trader,"Options,Futures,Forex"
202,sheepishDoves9,Experienced,Technical,Position Trader,"Forex,Bonds"
203,soreHeron3,Intermediate,Value,Long Term Investor,Equities
204,joyfulCow9,Intermediate,Growth,Day Trader,Private Companies
205,euphoricRat2,Novice,Technical,Day Trader,"Bonds,Forex"
206,cautiousOil2,Experienced,Growth,Day Trader,"Futures,Options,Forex"
207,amazedFish9,Intermediate,Growth,Long Term Investor,Futures
208,peacefulIcecream3,Intermediate,Growth,Swing Trader,"Equities,Options,Futures"
209,enragedIguana8,Experienced,Growth,Day Trader,"Options,Futures,Bonds"
210,stressedDoves1,Intermediate,Growth,Long Term Investor,Futures
211,pridefulApples2,Novice,Technical,Day Trader,"Forex,Bonds,Options"
212,wrathfulPiglet7,Intermediate,Fundamental,Swing Trader,"Forex,Private Companies"
213,enviousChamois4,Experienced,Momentum,Position Trader,"Forex,Bonds,Futures"
214,holisticPorpoise7,Experienced,Global Macro,Position Trader,"Options,Bonds,Private Companies"
215,blissfulEagle9,Intermediate,Growth,Day Trader,"Futures,Private Companies"
216,bubblyMagpie4,Intermediate,Value,Position Trader,Forex
217,empathicWhiting0,Novice,Fundamental,Position Trader,Private Companies
218,sheepishPear4,Experienced,Value,Day Trader,"Forex,Private Companies,Futures"
219,dreadfulDoves4,Experienced,Value,Swing Trader,Futures
220,worldlyBuck5,Experienced,Global Macro,Day Trader,"Bonds,Options,Futures"
221,sheepishTruffle2,Experienced,Momentum,Long Term Investor,"Forex,Bonds"
222,pleasedPepper3,Intermediate,Technical,Long Term Investor,Futures
223,euphoricWigeon9,Intermediate,Global Macro,Long Term Investor,"Equities,Private Companies,Forex"
224,gloomyThrushe9,Novice,Growth,Swing Trader,Futures
225,boredBobolink9,Experienced,Fundamental,Long Term Investor,"Forex,Private Companies"
226,wingedDove0,Experienced,Growth,Day Trader,"Forex,Futures,Equities"
227,superiorDotterel7,Novice,Growth,Long Term Investor,"Bonds,Private Companies,Forex"
228,sheepishCardinal4,Experienced,Growth,Day Trader,"Forex,Private Companies,Options"
229,culturedLeopard4,Novice,Momentum,Swing Trader,Forex
230,forsakenCaviar4,Novice,Momentum,Long Term Investor,Equities
231,fondHoopoe9,Intermediate,Value,Long Term Investor,"Forex,Private Companies,Bonds"
232,insecureLocust1,Novice,Technical,Long Term Investor,"Bonds,Forex,Options"
233,yearningCrane2,Novice,Momentum,Long Term Investor,"Private Companies,Options,Equities"
234,wearyApricots6,Novice,Momentum,Swing Trader,"Equities,Futures,Private Companies"
235,crushedBass7,Experienced,Momentum,Long Term Investor,"Futures,Forex,Options"
236,culturedSnail0,Novice,Fundamental,Position Trader,"Equities,Forex,Bonds"
237,vengefulSeafowl9,Experienced,Growth,Swing Trader,"Futures,Bonds"
238,morbidSnail0,Novice,Global Macro,Day Trader,"Forex,Bonds,Private Companies"
239,mildHawk2,Intermediate,Global Macro,Position Trader,Options
240,goofySmelt5,Intermediate,Fundamental,Position Trader,"Options,Forex,Private Companies"
241,shamefulDoves4,Intermediate,Fundamental,Position Trader,Forex
242,relievedSeahorse6,Intermediate,Global Macro,Position Trader,"Forex,Equities"
243,gutturalBuzzard3,Novice,Momentum,Position Trader,"Futures,Equities,Forex"
244,alertWeaver7,Intermediate,Global Macro,Day Trader,Equities
245,grizzledChamois5,Experienced,Technical,Position Trader,"Forex,Options,Futures"
246,dreadfulWidgeon3,Novice,Value,Long Term Investor,Equities
247,crushedMallard5,Novice,Value,Position Trader,"Private Companies,Futures,Options"
248,blissfulBagels4,Novice,Value,Long Term Investor,"Bonds,Options"
249,jubilantChough1,Experienced,Growth,Long Term Investor,"Options,Forex,Private Companies"
250,dopeyZebra7,Intermediate,Global Macro,Day Trader,"Bonds,Forex"
251,joyfulOryx4,Novice,Global Macro,Long Term Investor,"Private Companies,Futures"
252,dejectedCod7,Experienced,Momentum,Long Term Investor,"Options,Equities,Bonds"
253,solemnSeafowl1,Intermediate,Global Macro,Long Term Investor,Private Companies
254,cautiousBasmati0,Novice,Technical,Position Trader,Private Companies
255,boredPolenta1,Experienced,Value,Position Trader,Forex
256,ecstaticJaguar7,Novice,Momentum,Swing Trader,"Bonds,Equities"
257,worriedDoughnut0,Intermediate,Value,Day Trader,"Bonds,Options,Futures"
258,dreadfulPolenta0,Novice,Growth,Day Trader,Options
259,decimalChile2,Intermediate,Value,Swing Trader,Futures
260,brainyVenison0,Novice,Momentum,Long Term Investor,"Bonds,Equities"
261,shyCow7,Intermediate,Fundamental,Swing Trader,"Futures,Options"
262,debonairEggs8,Novice,Fundamental,Day Trader,"Equities,Private Companies"
263,cynicalBittern4,Novice,Value,Long Term Investor,Equities
264,worldlyTuna8,Experienced,Growth,Position Trader,"Private Companies,Options,Futures"
265,excitedPudding9,Intermediate,Technical,Swing Trader,"Private Companies,Bonds"
266,ashamedHyena6,Intermediate,Fundamental,Long Term Investor,Options
267,chicMuesli3,Novice,Momentum,Position Trader,"Private Companies,Futures"
268,brainyAbalone1,Experienced,Fundamental,Swing Trader,"Futures,Forex,Options"
269,cautiousShads5,Novice,Global Macro,Position Trader,"Options,Equities"
270,curiousCrane5,Intermediate,Technical,Day Trader,"Private Companies,Bonds,Options"
271,peskyBoa0,Novice,Momentum,Long Term Investor,"Options,Equities,Bonds"
272,cautiousRice5,Experienced,Growth,Day Trader,"Bonds,Private Companies"
273,fondMandrill7,Novice,Fundamental,Long Term Investor,"Equities,Forex,Private Companies"
274,mereMackerel3,Experienced,Momentum,Swing Trader,Private Companies
275,dejectedSalami7,Novice,Momentum,Swing Trader,"Private Companies,Options,Forex"
276,peskyHeron8,Experienced,Fundamental,Swing Trader,"Options,Bonds,Equities"
277,resolvedPepper3,Intermediate,Momentum,Day Trader,Options
278,yearningCheese2,Novice,Value,Swing Trader,"Futures,Options"
279,selfishLocust0,Novice,Growth,Day Trader,"Bonds,Forex,Futures"
280,aloofLizard4,Experienced,Momentum,Swing Trader,"Options,Futures"
281,curiousLard4,Novice,Global Macro,Position Trader,"Equities,Forex"
282,somberOrange0,Novice,Momentum,Day Trader,"Forex,Bonds"
283,cheerfulDunbird2,Novice,Fundamental,Swing Trader,Forex
284,panickyRuffs3,Novice,Global Macro,Day Trader,"Futures,Private Companies"
285,alertWeaver9,Novice,Technical,Day Trader,Forex
286,yearningPoultry9,Intermediate,Fundamental,Position Trader,"Futures,Options,Private Companies"
287,sincereTermite3,Novice,Fundamental,Day Trader,Equities
288,joyfulSalt7,Intermediate,Momentum,Long Term Investor,Forex
289,betrayedRhino4,Intermediate,Global Macro,Swing Trader,Equities
290,morbidCheetah0,Intermediate,Technical,Long Term Investor,"Options,Futures,Equities"
291,abjectDoves7,Intermediate,Growth,Position Trader,"Options,Bonds"
292,bubblyPlover7,Intermediate,Growth,Swing Trader,Forex
293,cheerfulEland0,Novice,Value,Position Trader,"Equities,Options,Bonds"
294,crummyBass4,Intermediate,Momentum,Position Trader,"Futures,Options"
295,decimalPoultry1,Experienced,Technical,Long Term Investor,Forex
296,joyfulBass2,Novice,Growth,Position Trader,"Private Companies,Forex,Bonds"
297,thriftyLard7,Experienced,Fundamental,Swing Trader,Options
298,innocentPudding4,Novice,Fundamental,Long Term Investor,"Equities,Bonds,Private Companies"
299,decimalBagels5,Novice,Global Macro,Long Term Investor,"Options,Private Companies"
300,innocentRice3,Novice,Global Macro,Swing Trader,Options
301,pluckyOtter6,Experienced,Fundamental,Long Term Investor,"Private Companies,Futures,Options"
302,curiousMuesli4,Intermediate,Momentum,Long Term Investor,Futures
303,cheerfulLollies7,Novice,Value,Day Trader,"Forex,Options,Bonds"
304,needyTermite4,Novice,Value,Position Trader,"Forex,Futures,Bonds"
305,boredWhiting4,Experienced,Global Macro,Long Term Investor,"Private Companies,Equities"
306,annoyedEggs4,Intermediate,Technical,Swing Trader,"Forex,Private Companies"
307,trustingPear9,Experienced,Value,Position Trader,"Options,Bonds"
308,pacifiedVenison1,Experienced,Technical,Swing Trader,"Futures,Private Companies"
309,crummyDove3,Intermediate,Fundamental,Swing Trader,"Futures,Options,Equities"
310,morbidDunbird0,Novice,Fundamental,Long Term Investor,"Futures,Bonds"
311,offendedWidgeon5,Novice,Global Macro,Day Trader,"Equities,Private Companies"
312,artisticCardinal4,Novice,Growth,Long Term Investor,"Futures,Options,Forex"
313,anxiousBuzzard4,Experienced,Momentum,Swing Trader,Bonds
314,murkyWasp6,Experienced,Global Macro,Position Trader,"Equities,Futures"
315,grizzledTacos6,Intermediate,Fundamental,Long Term Investor,Forex
316,enragedDunbird2,Experienced,Global Macro,Long Term Investor,"Private Companies,Forex,Bonds"
317,morbidWildfowl4,Novice,Momentum,Swing Trader,"Bonds,Equities"
318,abjectBurritos2,Novice,Technical,Day Trader,Options
319,ardentJaguar1,Intermediate,Momentum,Swing Trader,"Options,Futures,Equities"
320,troubledVenison2,Novice,Technical,Long Term Investor,Bonds
321,giddyLollies2,Intermediate,Growth,Position Trader,Bonds
322,tautGarlic6,Experienced,Fundamental,Long Term Investor,Private Companies
323,worldlySnipe4,Intermediate,Technical,Long Term Investor,"Private Companies,Bonds"
324,obsessedSyrup6,Novice,Growth,Long Term Investor,Futures
325,grumpySardines3,Novice,Global Macro,Day Trader,Futures
326,unhappyOrange1,Novice,Value,Position Trader,"Bonds,Futures"
327,dearCheetah6,Novice,Global Macro,Long Term Investor,Bonds
328,outlyingTruffle4,Intermediate,Value,Long Term Investor,Forex
329,abjectZebra8,Experienced,Growth,Long Term Investor,Forex
330,abjectPlover6,Experienced,Global Macro,Position Trader,"Futures,Equities"
331,lovesickStork2,Experienced,Fundamental,Long Term Investor,"Options,Futures,Equities"
332,sincereRaisins9,Intermediate,Global Macro,Day Trader,"Bonds,Futures"
333,ardentTortoise6,Intermediate,Global Macro,Long Term Investor,Forex
334,offendedHyena9,Experienced,Global Macro,Swing Trader,"Futures,Forex,Private Companies"
335,annoyedLizard1,Novice,Growth,Day Trader,Bonds
336,cheerfulPolenta7,Experienced,Global Macro,Day Trader,"Bonds,Futures"
337,ecstaticGarlic2,Novice,Value,Long Term Investor,Private Companies
338,grumpyWigeon5,Experienced,Global Macro,Position Trader,"Equities,Options"
339,pleasedBass7,Novice,Momentum,Long Term Investor,"Equities,Private Companies,Bonds"
340,offendedSeafowl3,Intermediate,Value,Swing Trader,"Bonds,Equities,Futures"
341,pacifiedMeerkat2,Intermediate,Momentum,Position Trader,"Forex,Private Companies"
342,unhappySeafowl3,Experienced,Value,Day Trader,"Bonds,Equities,Options"
343,ferventShads3,Experienced,Global Macro,Swing Trader,"Equities,Private Companies,Options"
344,murkyWidgeon8,Novice,Value,Position Trader,Futures
345,lovesickVenison0,Novice,Global Macro,Swing Trader,Options
346,grudgingQuiche2,Novice,Technical,Swing Trader,"Equities,Futures,Private Companies"
347,excitedMacaw3,Intermediate,Momentum,Day Trader,"Equities,Private Companies,Bonds"
348,cautiousDunbird2,Intermediate,Value,Long Term Investor,"Futures,Forex"
349,excitedCaviar4,Intermediate,Technical,Day Trader,"Equities,Forex,Options"
350,decimalWigeon1,Experienced,Global Macro,Day Trader,"Options,Forex,Bonds"
351,abjectDunbird0,Intermediate,Value,Day Trader,"Equities,Options"
352,fondCheetah7,Novice,Momentum,Position Trader,"Equities,Futures"
353,betrayedSalami7,Experienced,Fundamental,Position Trader,"Equities,Futures"
354,puzzledOatmeal9,Intermediate,Growth,Long Term Investor,"Futures,Options"
355,thriftySnail6,Intermediate,Global Macro,Long Term Investor,"Bonds,Options"
356,decimalSheep0,Experienced,Technical,Swing Trader,"Private Companies,Forex,Equities"
357,abjectSeagull3,Intermediate,Growth,Long Term Investor,"Futures,Options"
358,cynicalSnipe1,Intermediate,Fundamental,Long Term Investor,Options
359,curiousKitten1,Experienced,Technical,Long Term Investor,"Equities,Options,Futures"
360,peskyHawk8,Intermediate,Growth,Long Term Investor,"Bonds,Forex,Private Companies"
361,shyLollies3,Novice,Value,Day Trader,"Forex,Options,Bonds"
362,cruelBustard6,Novice,Momentum,Long Term Investor,"Equities,Futures,Forex"
363,sincereSalami2,Experienced,Technical,Swing Trader,"Equities,Futures,Options"
364,chicPoultry3,Intermediate,Growth,Swing Trader,"Forex,Options"
365,exactingPolenta5,Experienced,Fundamental,Swing Trader,Forex
366,brainyFalcon0,Intermediate,Momentum,Swing Trader,"Bonds,Options"
367,euphoricJerky1,Intermediate,Value,Position Trader,Forex
368,shamefulHare8,Novice,Growth,Swing Trader,"Equities,Options"
369,wingedWhiting7,Intermediate,Growth,Swing Trader,"Private Companies,Forex"
370,humorousGatorade3,Experienced,Global Macro,Swing Trader,"Forex,Bonds,Futures"
371,amusedOrange5,Intermediate,Momentum,Day Trader,Equities
372,hushedZebra9,Novice,Growth,Position Trader,"Options,Bonds"
373,similarBobolink8,Novice,Global Macro,Day Trader,"Equities,Forex,Futures"
