id,slug,topics
172,daytradersanonymous,"Options,Day Trading,Equities"
173,wolfpack,"Day Trading,Swing Trading,Momentum Trading"
174,CryptoGains,Cryptocurrencies
175,Blackbox,"Day Trading,Education"
176,boilerroom,"Long Term Investing,Global Macro,Fundamentals"
177,HatchingGains,"Swing Trading,Momentum Trading"
178,Tech,Technology
179,buythedip,"Day Trading,Swing Trading,Momentum Trading"
180,ICOs,Cryptocurrencies
181,disruptivebiotech,"Long Term Investing,Biotechnology"
182,MATH,Technicals
183,benzinga,"Day Trading,Swing Trading,Long Term Investing"
184,futurefaangs,"Long Term Investing,Technology,News"
185,longterminvestors,Long Term Investing
186,fda,Biotechnology
187,awakntv,Technology
188,pennystocksncryptos,"Cryptocurrencies,Swing Trading,Technicals"
189,stocksnipers,"Day Trading,Swing Trading,Momentum Trading"
190,daytraders,"Day Trading,Momentum Trading,Equities"
191,topgainers,"Day Trading,Momentum Trading,Equities"
192,EquityIndexFuture,Futures
193,thetradesniper,"Day Trading,Momentum Trading,Equities"
194,towndrunk,"Biotechnology,Fundamentals"
195,microcapvalue,Fundamentals
196,NEO_Ecosystem,"Cryptocurrencies,Long Term Investing,News"
197,onthegotrades,"Swing Trading,Momentum Trading,Technicals"
198,fixedincome,Long Term Investing
199,financestudents,Education
200,techies,Technology
201,securities_fraud,News
202,longhaul,Long Term Investing
203,lowfloat,"Day Trading,Swing Trading,Technicals"
204,optiontrading,Options
205,argentina,Equities
206,xrpandripple,"Cryptocurrencies,Long Term Investing,News"
207,actrader,Swing Trading
208,flips,Biotechnology
209,cointalk,Cryptocurrencies
210,buy,Technicals
211,fightroom,"Forex,Cryptocurrencies,Precious Metals"
212,rareanduntreated,Biotechnology
213,tradenews,"Equities,Technicals"
214,shorts,"Swing Trading,Momentum Trading,Technicals"
215,stocks,"Equities,Biotechnology,Technicals"
216,bubble,"Equities,Technology,Biotechnology"
217,helper,"Technology,Fundamentals"
218,moneyroom,"Day Trading,Momentum Trading,News"
219,optionscafe,Options
220,tradesmart,Day Trading
221,spanish_traders,News
222,stockbot,Day Trading
223,tradeideas,Day Trading
224,naturalgas,"Futures,Fundamentals,Energy"
225,sleepinggiants,"Swing Trading,Momentum Trading,Biotechnology"
226,noobcombo,Education
227,alphaAnon,"Options,Day Trading,Education"
228,deepvalue,"Long Term Investing,Equities,Fundamentals"
229,bag_holders_with_attitude,News
230,valueinvesting,"Long Term Investing,Equities,Fundamentals"
231,longterm,"Long Term Investing,Fundamentals"
232,value,"Long Term Investing,Fundamentals"
233,Marijuana,"Long Term Investing,Equities"
234,brechertradingfree,"Options,Momentum Trading,Technicals"
235,magic,Day Trading
236,commonking,"Long Term Investing,Education,Fundamentals"
237,Tradenet_Stock_Talks,"Day Trading,Swing Trading,Education"
238,fantasyfootball,Non-Market Talk
239,fairfield,"Day Trading,Technology,Non-Market Talk"
240,garp,"Long Term Investing,Education,Fundamentals"
241,brands,"Long Term Investing,Fundamentals"
242,india,"Equities,Fundamentals,News"
243,moats,"Long Term Investing,Equities,Fundamentals"
244,nyc,"Long Term Investing,Equities,Fundamentals"
245,OceanTradeClub,"Day Trading,Swing Trading,Technicals"
246,investing,"Long Term Investing,Equities,Fundamentals"
247,lookingforanalysts,Education
248,equitysight,"Swing Trading,Technology,Technicals"
249,equityinsight,"Long Term Investing,Momentum Trading"
250,momentumdaytrades,Day Trading
251,daytrades,Day Trading
252,treyluhbuhnz,Options
253,Commodity,"Global Macro,Precious Metals,Energy"
254,keepitsimple,"Options,Equities,ETFs"
255,fugazi,"Cryptocurrencies,Day Trading,Education"
256,LongAndShortIdeas,"Options,Swing Trading,Momentum Trading"
257,shortselling,Day Trading
258,Shorting,Day Trading
259,unsualoptionactivity,Options
260,study,"Global Macro,Fundamentals,Technicals"
261,10baggers,"Biotechnology,Fundamentals,Technicals"
262,classifiedtrades,Day Trading
263,wallstreetmonkey,Options
264,ian,"Long Term Investing,Technology,News"
265,uoa,Options
266,techworld,Technology
267,tradebanter,News
268,smallaccounts,Swing Trading
269,traders_with_pets,Non-Market Talk
270,optiontraders,Options
271,DFS,Non-Market Talk
272,connections,Non-Market Talk
273,tradingtech,"Long Term Investing,Technology"
274,swinganmomentum,"Swing Trading,Momentum Trading"
275,30VolatileTradeOptions,"Options,Swing Trading,Technicals"
276,vanguard,"Long Term Investing,ETFs"
277,modifieddarvasbox_room,"Equities,Fundamentals,Technicals"
278,ThePod,Day Trading
279,bearish,"Day Trading,Fundamentals"
280,Markets,News
281,MarketWatch,"Education,News"
282,momentum,Momentum Trading
283,truth_discovery_rangers,"Long Term Investing,Global Macro,Technology"
284,Technical_Analysis,"Swing Trading,Technicals"
285,technofundamentalist,Fundamentals
286,MarketMemes,Non-Market Talk
287,novawealth,"Technology,Non-Market Talk,Personal Finance"
288,optionflow,"Options,Equities,Technicals"
289,gurus,Day Trading
290,avawealth,Day Trading
291,faang,Equities
292,Gamers,Non-Market Talk
293,KINGSMEN,"Day Trading,Swing Trading,Education"
294,tanktoptrader,"Day Trading,Swing Trading,Equities"
295,smallaccount,"Day Trading,Education"
296,truemarketleaders,Education
297,ALswingtraders,Swing Trading
298,DantesPeak,"Futures,Options,Global Macro"
299,marketgenius,Day Trading
300,eliteboardmembers,"Swing Trading,Long Term Investing,Technicals"
301,fed,News
302,nyse,News
303,volatilestocks,"Day Trading,Swing Trading,Technology"
304,strattonoakmontinc,"Day Trading,Swing Trading,Long Term Investing"
305,billionaireclubcollc,"Swing Trading,Education,Fundamentals"
306,esports,Non-Market Talk
307,PriceAction,"Momentum Trading,Equities,ETFs"
308,trump_trades,Momentum Trading
309,OG_FT,Day Trading
310,Jasonbondpicks,"Day Trading,Swing Trading,Education"
311,short_vol,Options
312,timsykes,"Day Trading,Swing Trading"
313,screeners,"Day Trading,Long Term Investing,Education"
314,hydroplosion,Non-Market Talk
315,swingtrades,Swing Trading
316,pdufa_plays,"Biotechnology,Fundamentals,Technicals"
317,mariac,Day Trading
318,pdufa,"Biotechnology,Fundamentals,Technicals"
319,tradesideas,Day Trading
320,trolling,Non-Market Talk
321,trade_ideas,Day Trading
322,pennyrunners,"Day Trading,Swing Trading,Momentum Trading"
323,SavedByTheBell,"Day Trading,Momentum Trading"
324,VOLATILITY,"Futures,Options,ETFs"
325,Traderslounge,"Day Trading,Swing Trading,Equities"
326,theblock,Cryptocurrencies
327,stanweinstein,Momentum Trading
328,chann,Day Trading
329,charttrading,"Swing Trading,Momentum Trading"
330,OptionGods,"Options,Day Trading"
331,wallstreet_history,Education
332,EarningsTrading,"Momentum Trading,Equities,Quant"
333,nickelforward,Day Trading
334,jg_premium,"Equities,Quant"
335,artificial_intelligence,Technology
336,call_options,Options
337,daytrading_options,"Options,Day Trading"
338,tradealerts,"Swing Trading,Momentum Trading"
339,storytrading,"Momentum Trading,News"
340,No_Pennies,"Day Trading,Swing Trading,Education"
341,StoryTradingOptions,Options
342,OptionsSelling,Options
343,microcaps,Long Term Investing
344,swingoptions,"Swing Trading,Momentum Trading"
345,dividends,"Long Term Investing,Equities"
346,unicorns,Long Term Investing
347,lowfloaters,Day Trading
348,earnings,"Momentum Trading,News"
349,ShortOptions,Options
350,OptionSelling,Options
351,Spikes_Only,"Momentum Trading,Fundamentals"
352,optiontraderpros,"Options,Day Trading"
353,markgomesstocks,"Education,Technology,Fundamentals"
354,EarningsTrades,Momentum Trading
355,StoryTradingResearchGroup,"Swing Trading,Long Term Investing,Fundamentals"
356,WhisperNumbers,News
357,dividend_hunters,Long Term Investing
358,OrganizedChaosTrading,Technicals
359,makingmoney,Education
360,vix,Futures
361,BillionaireBoysClub,"Day Trading,Technology"
362,steelindustryUSA,"Equities,Fundamentals"
363,precisionoptions,Options
364,justingoheen,"Equities,Fundamentals,Quant"
365,shortinterest,Momentum Trading
366,aicody,"Technicals,News"
367,puts,Options
368,sellingoptions,Options
369,pumpanddump,Swing Trading
370,trade,"Day Trading,Swing Trading,Equities"
371,coin,Cryptocurrencies
372,dividend,Equities
373,Networks,"Long Term Investing,Technology,Fundamentals"
374,chinesestocks,Equities
375,Theconfessional,"Equities,News"
376,etf_education,ETFs
377,FriendlyBantor,"Education,Equities"
378,quant,Quant
379,FinTech_Premium,"Technology,Fundamentals,Personal Finance"
380,premium,Day Trading
381,cryptocurrencies,Cryptocurrencies
382,German_Investors,"Global Macro,Education,Non-Market Talk"
383,TechnicalSwingTrading,"Swing Trading,Technicals"
384,oott,"Futures,Day Trading,Energy"
385,value_investing101,Fundamentals
386,futuresafterdark,Technicals
387,swingtrader,Swing Trading
388,alphax,"Options,Education,Technicals"
389,mariac82,Day Trading
390,optio,Options
391,optionstl,Options
392,kevinwolcott,Biotechnology
393,ac_trader,Options
394,paulnaomi,Day Trading
395,bagholdersunited,Biotechnology
396,bitcoiners,"Cryptocurrencies,Day Trading"
397,buyandhold,Long Term Investing
398,loserslounge,Biotechnology
399,china,"Global Macro,News"
400,biotechpennytrades,Biotechnology
401,bearkilling,"Day Trading,Swing Trading,Technicals"
402,risktrades,"Day Trading,Swing Trading"
403,avalanchecapital,"Options,Swing Trading,Momentum Trading"
404,Shakas_PlayRoom,Non-Market Talk
405,valuestocks,"Equities,Fundamentals"
406,RISKTRADE,"Day Trading,Swing Trading"
407,Elliott_Wave_Analysis,"Day Trading,Swing Trading,Technicals"
408,gaintrain,"Swing Trading,Technicals"
409,hilarious,"Options,ETFs"
410,SmallCapMomo,"Day Trading,Swing Trading,Education"
411,BiloSelhi,"Cryptocurrencies,Day Trading,Swing Trading"
412,pierce,"Long Term Investing,Technology,Non-Market Talk"
413,wbs,"Day Trading,Equities,Fundamentals"
414,dailyprofits,Swing Trading
415,Tradereversal,"Swing Trading,Long Term Investing,Technicals"
416,fundamentals,"Long Term Investing,Fundamentals"
417,contractresearchorg,Biotechnology
418,daytrade,"Day Trading,Momentum Trading,Technicals"
419,quickbucks,"Day Trading,Momentum Trading,News"
420,optionsdaytrading,"Options,Day Trading,Education"
421,recessionproof,"Long Term Investing,Education,Personal Finance"
422,FindAMod,Non-Market Talk
423,SiriusContest,Day Trading
424,robinhood1,"Day Trading,Education,Technology"
425,moon,"Cryptocurrencies,Day Trading,Education"
426,customtradeplan,"Swing Trading,Non-Market Talk,Personal Finance"
427,ChartPatternsTim,"Swing Trading,Fundamentals,Technicals"
428,Everytimeicash,Momentum Trading
429,upnow,"Education,Biotechnology,Energy"
430,ShortVolShow,Education
431,memestocks,"Options,Day Trading,Technology"
432,Cryptos,Cryptocurrencies
433,mspc_psnxd,News
434,CBOEVETS,Options
435,wyckoff,"Swing Trading,Education,Technicals"
436,SultanTrades,"Day Trading,Equities,Personal Finance"
437,forex_trading,"Futures,Forex,Precious Metals"
438,trader,"Forex,Day Trading,Energy"
439,redfog,Cryptocurrencies
440,TraderLion,"Swing Trading,Education,Technicals"
441,SultanTradesFree,"Day Trading,Equities"
442,Nano,Cryptocurrencies
443,Chartsandpatterns,"Swing Trading,Fundamentals,Technicals"
444,1SimpleMemes,Non-Market Talk
445,Vanadium,"News,Green Energy"
446,Airdrops,Cryptocurrencies
447,moneymaker,"Swing Trading,Long Term Investing,Momentum Trading"
448,fundamentalcrypto,"Cryptocurrencies,Long Term Investing,Fundamentals"
449,vslash,"Cryptocurrencies,Day Trading,Education"
450,MOMO,Momentum Trading
451,best_option_strategies,"Options,Day Trading,Technicals"
452,crude_futures,"Futures,Day Trading,Energy"
453,technicalfuturesgroup,Futures
454,BitcoinCash,Cryptocurrencies
455,InstitutionalOptionsFlow,"Options,Day Trading,Swing Trading"
456,OptionsPlay,"Options,Swing Trading"
457,52_week_high,Momentum Trading
458,gambling,News
459,Monero,Cryptocurrencies
460,ipowatch,"Long Term Investing,News"
461,letslosemoney,"Options,Technology"
462,biopharma,Biotechnology
463,trendfollowing,"Swing Trading,Momentum Trading,Equities"
464,MACD,Momentum Trading
465,behavioralinvesting,Education
466,diyinvesting,"Education,Personal Finance"
467,swingtrade,Swing Trading
468,momentumtrading,"Day Trading,Momentum Trading,News"
469,cryptofundamentals,Cryptocurrencies
470,adcom,Biotechnology
471,adcomtracker,Biotechnology
472,twotrillionusd,Technology
473,adcomnews,Biotechnology
474,101,"Swing Trading,Fundamentals,ETFs"
475,logvinenko,"Forex,Day Trading,Swing Trading"
476,biz,"Cryptocurrencies,Long Term Investing,Non-Market Talk"
477,WEED,Fundamentals
478,autismspeaks,News
479,bulloptions,Options
480,daytradin,"Day Trading,Swing Trading,Momentum Trading"
481,Pharma,Biotechnology
482,Shrinkology,Education
483,optionsanddaytrading,"Options,Day Trading"
484,falardemercados,"Swing Trading,Global Macro,Fundamentals"
485,valueinvestors,"Long Term Investing,Quant"
486,UpcomingIPOs,News
487,marketstreet,"Options,Day Trading,Long Term Investing"
488,eattradelove,"Long Term Investing,Momentum Trading,Non-Market Talk"
489,estimates,Fundamentals
490,cryptodamus,"Cryptocurrencies,Day Trading,Swing Trading"
491,TradersDen,Swing Trading
492,Estimize,Non-Market Talk
493,BeBetter,Education
494,FDAtrials,Biotechnology
495,thelongs,Long Term Investing
496,420,Education
497,sportsbook,News
498,poker,Non-Market Talk
499,joefahmysfanclub,"Day Trading,Swing Trading,Fundamentals"
500,Claytrader,Education
501,militaryindustconplex,"Long Term Investing,News"
502,StockTwitsNYCMeetup,"Education,Equities,Non-Market Talk"
503,pnn,"Cryptocurrencies,Long Term Investing"
504,investinglongterm,Long Term Investing
505,Alpha_Eye,"Momentum Trading,Education,Technicals"
506,wallstbets,"Non-Market Talk,News,Personal Finance"
507,pennystockpicks,Swing Trading
508,ScalpFutures,Futures
509,portfoliobuildingandedu,"Options,Long Term Investing,Education"
510,learnoptions,"Options,Education,Fundamentals"
511,machinelearning,"Day Trading,Technology,Quant"
512,preciousmetals,Precious Metals
513,TeamAllIn,Options
514,optionideas,Options
515,pump,Cryptocurrencies
516,energy,Energy
517,biotechnews,"Long Term Investing,Biotechnology"
518,Early_Stage_Breakouts,Momentum Trading
519,CryptoSignals,"Cryptocurrencies,Fundamentals,Technicals"
520,lifesciences,Biotechnology
521,cryptochat,Cryptocurrencies
522,datascience,"Technology,Fundamentals,Quant"
523,algorithmic,"Swing Trading,Momentum Trading,Quant"
524,room,Non-Market Talk
525,marketchameleon,"Options,ETFs,News"
526,ronsroom,Day Trading
527,ironwood,"Cryptocurrencies,Fundamentals,Technicals"
528,TradingExperts,"Swing Trading,Momentum Trading,Technicals"
529,newtech,Technology
530,greenroom,Day Trading
531,growthstocks,"Momentum Trading,Equities,Fundamentals"
532,bitcoinetfs,"Cryptocurrencies,ETFs"
533,cryptoETFs,"Cryptocurrencies,ETFs"
534,staygreen,"Day Trading,Education,Equities"
535,QEunwind,"Long Term Investing,Global Macro,Fundamentals"
536,tsx,Equities
537,optionaction,"Options,Equities,News"
538,superperformancekings,"Options,Momentum Trading"
539,momotraders,"Day Trading,Momentum Trading,Education"
540,ChartPorn,"Day Trading,Fundamentals,Technicals"
541,growth_stocks,"Long Term Investing,Momentum Trading,Equities"
542,ButtHurtBagHolders,"Cryptocurrencies,Day Trading,Swing Trading"
543,CryptoTA,"Cryptocurrencies,Day Trading,Technicals"
544,tradinglearning101,"Day Trading,Education,Technicals"
545,futurestrading,"Futures,Day Trading"
546,biotech1,Biotechnology
547,PremarketTrading,"Day Trading,Equities,News"
548,optionsdaytraders,"Options,Day Trading,Education"
549,mining,Cryptocurrencies
550,socialmedia,News
551,backprop,"Options,Long Term Investing"
552,resources,Equities
553,LQMT,Equities
554,trump,News
555,riskypop,"Day Trading,Swing Trading,Momentum Trading"
556,chino,"Swing Trading,Momentum Trading,News"
557,dividendIdeas,"Equities,ETFs,Personal Finance"
558,lowrsi,Swing Trading
559,betterthanyesterday,"Day Trading,Long Term Investing,Personal Finance"
560,tradeearnings,"Options,Swing Trading,Equities"
561,pumpingstocks,Momentum Trading
562,techstocks,Technology
563,deepmicrocapvalue,Fundamentals
564,TheHotTip,"Day Trading,ETFs"
565,crypto_investing,Cryptocurrencies
566,JTrading,Day Trading
567,leverage,"Momentum Trading,Technicals,ETFs"
568,streetwhishpers,"Day Trading,Equities,News"
569,optionoppportunities,Options
570,CyberTraders,"Day Trading,Equities"
571,short_term_swings,Swing Trading
572,StocksUnhingedTradingRoom,"Day Trading,Technicals,News"
573,oakriver,"Long Term Investing,Education,Fundamentals"
574,forexswing,Forex
575,EdmTrader,Momentum Trading
576,semiconductor,Technology
577,Public,"Day Trading,News"
578,PIG,"Day Trading,Swing Trading"
579,BenjaminGraham,"Long Term Investing,Fundamentals"
580,Insiders,"Day Trading,Swing Trading,News"
581,faangtechdow30,Swing Trading
582,1990s,"Day Trading,Fundamentals"
583,stockjumpers,News
584,Day,Day Trading
585,freemoney,"Options,Day Trading,Education"
586,Beginner_Options,Options
587,big_ron_coleman,"Precious Metals,Non-Market Talk"
588,trac,Cryptocurrencies
589,atmi,Cryptocurrencies
590,UNIT,"Cryptocurrencies,Fundamentals"
591,optiontradeforprofit,Options
592,shipping,"Futures,Day Trading,Global Macro"
593,bnty,Cryptocurrencies
594,Possums_Log,Swing Trading
595,cryptochemistry,"Cryptocurrencies,Day Trading,Swing Trading"
596,forextrading,Forex
597,forex,Forex
598,Divine_Trades,"Cryptocurrencies,Day Trading,Technicals"
599,swing,"Swing Trading,Technicals"
600,ezfliptrading,"Day Trading,Swing Trading,Momentum Trading"
601,tastytrade,Options
602,tastyworks,Options
603,colleagues,"Long Term Investing,Fundamentals,Personal Finance"
604,biotechbyace,Biotechnology
605,daytraderdan,"Day Trading,Momentum Trading,Technicals"
606,pennystockalert,"Day Trading,Momentum Trading,Technicals"
607,pharmastuff,Biotechnology
608,qtmm,Technology
609,SoldiersOfFortune,Forex
610,cannabistalk,Swing Trading
611,developers,Technology
612,whaleclub,"Cryptocurrencies,Day Trading,Technology"
613,cloud,Technology
614,pennystocks4lyfe,Personal Finance
615,technicals,"Day Trading,Momentum Trading,Technicals"
616,shortsqueeze,Swing Trading
617,pennytraders,"Day Trading,Swing Trading,Momentum Trading"
618,memes,"Day Trading,Non-Market Talk,News"
619,cehigh,Day Trading
620,forexswingers,Forex
621,Long_Term_ONLY,"Long Term Investing,Technicals,News"
622,insanity,"Options,Day Trading,Equities"
623,FastBreakFinance,"Long Term Investing,Equities,Technicals"
624,jelly,"Day Trading,News,Personal Finance"
625,Iluvstocks,"Day Trading,Swing Trading,Momentum Trading"
626,EODTrading,"Swing Trading,Equities,ETFs"
627,millicrypto,Education
628,teamcrypto,Cryptocurrencies
629,stocktradinglearninggroup,"Momentum Trading,Education,Biotechnology"
630,papichulo,"Cryptocurrencies,Long Term Investing,Technology"
631,BadAssWomenInvest,"Education,Equities,Non-Market Talk"
632,cryptocash,Cryptocurrencies
633,elliottwave,Technicals
634,stocktrading,"Cryptocurrencies,Day Trading,Energy"
635,bulls,"Day Trading,Swing Trading,Technicals"
636,securityanalysis,Fundamentals
637,etf_rotation,ETFs
638,forexbrokers,Non-Market Talk
639,leadersofopec,Energy
640,exchange_traded_fund,ETFs
641,ritsos,"Forex,Technicals"
642,banano,Cryptocurrencies
643,losangelestraders,"Options,Day Trading,Technology"
644,stockstreamtv,"Education,Technology"
645,GoldJuniors,Precious Metals
646,intraweeklybtcswings,Swing Trading
647,soleeeek,Day Trading
648,biotechtrading,Biotechnology
649,tech_news,Technology
650,wyckoff_livermore_traders,Day Trading
651,DayTrading_for_Income,"Day Trading,Equities"
652,thenextfaangstocks,Long Term Investing
653,Algos4Futures,"Futures,Quant"
654,TTCrypto,Cryptocurrencies
655,technews,Technology
656,TradingFutures,Futures
657,SaaS,Technology
658,Cryptocurrency_Blockchain,"Cryptocurrencies,Fundamentals,Technicals"
659,FOMONATION,"Day Trading,Momentum Trading,Technology"
660,tradeflags,"Momentum Trading,Equities,Technicals"
661,ema8,Day Trading
662,Short_Squeeze,Swing Trading
663,twit,"Day Trading,Swing Trading,Long Term Investing"
664,zerogainz,"Options,Swing Trading,Personal Finance"
665,Claytrader25,Technicals
666,personalfinance,"Long Term Investing,News,Personal Finance"
667,Momentum_Breakout_Plays,"Momentum Trading,Fundamentals,Technicals"
668,buy_sell_hold,"Cryptocurrencies,Day Trading,Long Term Investing"
669,stocktwitsdaytrade,"Day Trading,Equities,Technicals"
670,ChartSetups,"Day Trading,Swing Trading,Technicals"
671,noobs,"Day Trading,Long Term Investing,Momentum Trading"
672,sexy,Non-Market Talk
673,dayprofit,"Day Trading,Swing Trading,Momentum Trading"
674,MarketWizards,"Swing Trading,Momentum Trading,Technicals"
675,losemoneywithfriends,"Cryptocurrencies,Options,Day Trading"
676,china_tech,"Long Term Investing,Technology"
677,Community,Non-Market Talk
678,DaVinci,"Day Trading,Swing Trading,Education"
679,Energy_Solar,"Long Term Investing,Equities,Energy"
680,tradebuddy,"Day Trading,Technicals"
681,crispertechnologies,"Equities,Technology,Biotechnology"
